,0
0,1N_odiff_101N
1,1N_odiff_103N
2,1N_odiff_104N
3,1N_odiff_106N
4,1N_odiff_107N
5,1N_odiff_108N
6,1N_odiff_109N
7,1N_odiff_110N
8,1N_odiff_111N
9,1N_odiff_112N
10,1N_odiff_113N
11,1N_odiff_114N
12,1N_odiff_115N
13,1N_odiff_116N
14,1N_odiff_117N
15,1N_odiff_118N
16,1N_odiff_119N
17,1N_odiff_120N
18,1N_odiff_121N
19,1N_odiff_122N
20,1N_odiff_123N
21,1N_odiff_124N
22,1N_odiff_125N
23,1N_odiff_126N
24,1N_odiff_127N
25,1N_odiff_128N
26,1N_odiff_129N
27,1N_odiff_130N
28,1N_odiff_131N
29,1N_odiff_132N
30,1N_odiff_133N
31,1N_odiff_134N
32,1N_odiff_135N
33,1N_odiff_136N
34,1N_odiff_137N
35,1N_odiff_138N
36,1N_odiff_139N
37,1N_odiff_142N
38,1N_delayed_magnitude_101N
39,1N_delayed_magnitude_103N
40,1N_delayed_magnitude_104N
41,1N_delayed_magnitude_106N
42,1N_delayed_magnitude_107N
43,1N_delayed_magnitude_108N
44,1N_delayed_magnitude_109N
45,1N_delayed_magnitude_110N
46,1N_delayed_magnitude_111N
47,1N_delayed_magnitude_112N
48,1N_delayed_magnitude_113N
49,1N_delayed_magnitude_114N
50,1N_delayed_magnitude_115N
51,1N_delayed_magnitude_116N
52,1N_delayed_magnitude_117N
53,1N_delayed_magnitude_118N
54,1N_delayed_magnitude_119N
55,1N_delayed_magnitude_120N
56,1N_delayed_magnitude_121N
57,1N_delayed_magnitude_122N
58,1N_delayed_magnitude_123N
59,1N_delayed_magnitude_124N
60,1N_delayed_magnitude_125N
61,1N_delayed_magnitude_126N
62,1N_delayed_magnitude_127N
63,1N_delayed_magnitude_128N
64,1N_delayed_magnitude_129N
65,1N_delayed_magnitude_130N
66,1N_delayed_magnitude_131N
67,1N_delayed_magnitude_132N
68,1N_delayed_magnitude_133N
69,1N_delayed_magnitude_134N
70,1N_delayed_magnitude_135N
71,1N_delayed_magnitude_136N
72,1N_delayed_magnitude_137N
73,1N_delayed_magnitude_138N
74,1N_delayed_magnitude_139N
75,1N_delayed_magnitude_142N
76,1N_weekday
77,1N_hour
78,2N_odiff_120N
79,2N_odiff_121N
80,2N_odiff_122N
81,2N_odiff_123N
82,2N_odiff_124N
83,2N_odiff_125N
84,2N_odiff_126N
85,2N_odiff_127N
86,2N_odiff_128N
87,2N_odiff_129N
88,2N_odiff_130N
89,2N_odiff_131N
90,2N_odiff_132N
91,2N_odiff_133N
92,2N_odiff_134N
93,2N_odiff_135N
94,2N_odiff_136N
95,2N_odiff_137N
96,2N_odiff_201N
97,2N_odiff_204N
98,2N_odiff_205N
99,2N_odiff_206N
100,2N_odiff_207N
101,2N_odiff_208N
102,2N_odiff_209N
103,2N_odiff_210N
104,2N_odiff_211N
105,2N_odiff_212N
106,2N_odiff_213N
107,2N_odiff_214N
108,2N_odiff_215N
109,2N_odiff_216N
110,2N_odiff_217N
111,2N_odiff_218N
112,2N_odiff_219N
113,2N_odiff_220N
114,2N_odiff_221N
115,2N_odiff_222N
116,2N_odiff_224N
117,2N_odiff_225N
118,2N_odiff_226N
119,2N_odiff_227N
120,2N_odiff_228N
121,2N_odiff_229N
122,2N_odiff_230N
123,2N_odiff_231N
124,2N_odiff_232N
125,2N_odiff_233N
126,2N_odiff_234N
127,2N_odiff_235N
128,2N_odiff_236N
129,2N_odiff_237N
130,2N_odiff_238N
131,2N_odiff_239N
132,2N_odiff_241N
133,2N_odiff_242N
134,2N_odiff_243N
135,2N_odiff_244N
136,2N_odiff_245N
137,2N_odiff_246N
138,2N_odiff_247N
139,2N_delayed_magnitude_120N
140,2N_delayed_magnitude_121N
141,2N_delayed_magnitude_122N
142,2N_delayed_magnitude_123N
143,2N_delayed_magnitude_124N
144,2N_delayed_magnitude_125N
145,2N_delayed_magnitude_126N
146,2N_delayed_magnitude_127N
147,2N_delayed_magnitude_128N
148,2N_delayed_magnitude_129N
149,2N_delayed_magnitude_130N
150,2N_delayed_magnitude_131N
151,2N_delayed_magnitude_132N
152,2N_delayed_magnitude_133N
153,2N_delayed_magnitude_134N
154,2N_delayed_magnitude_135N
155,2N_delayed_magnitude_136N
156,2N_delayed_magnitude_137N
157,2N_delayed_magnitude_201N
158,2N_delayed_magnitude_204N
159,2N_delayed_magnitude_205N
160,2N_delayed_magnitude_206N
161,2N_delayed_magnitude_207N
162,2N_delayed_magnitude_208N
163,2N_delayed_magnitude_209N
164,2N_delayed_magnitude_210N
165,2N_delayed_magnitude_211N
166,2N_delayed_magnitude_212N
167,2N_delayed_magnitude_213N
168,2N_delayed_magnitude_214N
169,2N_delayed_magnitude_215N
170,2N_delayed_magnitude_216N
171,2N_delayed_magnitude_217N
172,2N_delayed_magnitude_218N
173,2N_delayed_magnitude_219N
174,2N_delayed_magnitude_220N
175,2N_delayed_magnitude_221N
176,2N_delayed_magnitude_222N
177,2N_delayed_magnitude_224N
178,2N_delayed_magnitude_225N
179,2N_delayed_magnitude_226N
180,2N_delayed_magnitude_227N
181,2N_delayed_magnitude_228N
182,2N_delayed_magnitude_229N
183,2N_delayed_magnitude_230N
184,2N_delayed_magnitude_231N
185,2N_delayed_magnitude_232N
186,2N_delayed_magnitude_233N
187,2N_delayed_magnitude_234N
188,2N_delayed_magnitude_235N
189,2N_delayed_magnitude_236N
190,2N_delayed_magnitude_237N
191,2N_delayed_magnitude_238N
192,2N_delayed_magnitude_239N
193,2N_delayed_magnitude_241N
194,2N_delayed_magnitude_242N
195,2N_delayed_magnitude_243N
196,2N_delayed_magnitude_244N
197,2N_delayed_magnitude_245N
198,2N_delayed_magnitude_246N
199,2N_delayed_magnitude_247N
200,2N_weekday
201,2N_hour
202,3N_odiff_120N
203,3N_odiff_123N
204,3N_odiff_127N
205,3N_odiff_224N
206,3N_odiff_225N
207,3N_odiff_226N
208,3N_odiff_227N
209,3N_odiff_301N
210,3N_odiff_302N
211,3N_delayed_magnitude_120N
212,3N_delayed_magnitude_123N
213,3N_delayed_magnitude_127N
214,3N_delayed_magnitude_224N
215,3N_delayed_magnitude_225N
216,3N_delayed_magnitude_226N
217,3N_delayed_magnitude_227N
218,3N_delayed_magnitude_301N
219,3N_delayed_magnitude_302N
220,3N_weekday
221,3N_hour
222,4N_odiff_234N
223,4N_odiff_235N
224,4N_odiff_236N
225,4N_odiff_237N
226,4N_odiff_238N
227,4N_odiff_239N
228,4N_odiff_248N
229,4N_odiff_249N
230,4N_odiff_250N
231,4N_odiff_251N
232,4N_odiff_252N
233,4N_odiff_253N
234,4N_odiff_254N
235,4N_odiff_255N
236,4N_odiff_256N
237,4N_odiff_257N
238,4N_odiff_401N
239,4N_odiff_402N
240,4N_odiff_405N
241,4N_odiff_406N
242,4N_odiff_407N
243,4N_odiff_408N
244,4N_odiff_409N
245,4N_odiff_410N
246,4N_odiff_411N
247,4N_odiff_412N
248,4N_odiff_413N
249,4N_odiff_414N
250,4N_odiff_415N
251,4N_odiff_416N
252,4N_odiff_418N
253,4N_odiff_419N
254,4N_odiff_420N
255,4N_odiff_423N
256,4N_odiff_621N
257,4N_odiff_622N
258,4N_odiff_623N
259,4N_odiff_624N
260,4N_odiff_625N
261,4N_odiff_626N
262,4N_odiff_627N
263,4N_odiff_628N
264,4N_odiff_629N
265,4N_odiff_630N
266,4N_odiff_631N
267,4N_odiff_632N
268,4N_odiff_633N
269,4N_odiff_634N
270,4N_odiff_635N
271,4N_odiff_636N
272,4N_odiff_637N
273,4N_odiff_638N
274,4N_odiff_639N
275,4N_odiff_640N
276,4N_delayed_magnitude_234N
277,4N_delayed_magnitude_235N
278,4N_delayed_magnitude_236N
279,4N_delayed_magnitude_237N
280,4N_delayed_magnitude_238N
281,4N_delayed_magnitude_239N
282,4N_delayed_magnitude_248N
283,4N_delayed_magnitude_249N
284,4N_delayed_magnitude_250N
285,4N_delayed_magnitude_251N
286,4N_delayed_magnitude_252N
287,4N_delayed_magnitude_253N
288,4N_delayed_magnitude_254N
289,4N_delayed_magnitude_255N
290,4N_delayed_magnitude_256N
291,4N_delayed_magnitude_257N
292,4N_delayed_magnitude_401N
293,4N_delayed_magnitude_402N
294,4N_delayed_magnitude_405N
295,4N_delayed_magnitude_406N
296,4N_delayed_magnitude_407N
297,4N_delayed_magnitude_408N
298,4N_delayed_magnitude_409N
299,4N_delayed_magnitude_410N
300,4N_delayed_magnitude_411N
301,4N_delayed_magnitude_412N
302,4N_delayed_magnitude_413N
303,4N_delayed_magnitude_414N
304,4N_delayed_magnitude_415N
305,4N_delayed_magnitude_416N
306,4N_delayed_magnitude_418N
307,4N_delayed_magnitude_419N
308,4N_delayed_magnitude_420N
309,4N_delayed_magnitude_423N
310,4N_delayed_magnitude_621N
311,4N_delayed_magnitude_622N
312,4N_delayed_magnitude_623N
313,4N_delayed_magnitude_624N
314,4N_delayed_magnitude_625N
315,4N_delayed_magnitude_626N
316,4N_delayed_magnitude_627N
317,4N_delayed_magnitude_628N
318,4N_delayed_magnitude_629N
319,4N_delayed_magnitude_630N
320,4N_delayed_magnitude_631N
321,4N_delayed_magnitude_632N
322,4N_delayed_magnitude_633N
323,4N_delayed_magnitude_634N
324,4N_delayed_magnitude_635N
325,4N_delayed_magnitude_636N
326,4N_delayed_magnitude_637N
327,4N_delayed_magnitude_638N
328,4N_delayed_magnitude_639N
329,4N_delayed_magnitude_640N
330,4N_weekday
331,4N_hour
332,5N_odiff_213N
333,5N_odiff_501N
334,5N_odiff_502N
335,5N_odiff_503N
336,5N_odiff_504N
337,5N_odiff_505N
338,5N_delayed_magnitude_213N
339,5N_delayed_magnitude_501N
340,5N_delayed_magnitude_502N
341,5N_delayed_magnitude_503N
342,5N_delayed_magnitude_504N
343,5N_delayed_magnitude_505N
344,5N_weekday
345,5N_hour
346,6N_odiff_601N
347,6N_odiff_602N
348,6N_odiff_603N
349,6N_odiff_604N
350,6N_odiff_606N
351,6N_odiff_607N
352,6N_odiff_608N
353,6N_odiff_609N
354,6N_odiff_610N
355,6N_odiff_611N
356,6N_odiff_612N
357,6N_odiff_613N
358,6N_odiff_614N
359,6N_odiff_615N
360,6N_odiff_616N
361,6N_odiff_617N
362,6N_odiff_618N
363,6N_odiff_619N
364,6N_odiff_621N
365,6N_odiff_622N
366,6N_odiff_623N
367,6N_odiff_624N
368,6N_odiff_625N
369,6N_odiff_626N
370,6N_odiff_627N
371,6N_odiff_628N
372,6N_odiff_629N
373,6N_odiff_630N
374,6N_odiff_631N
375,6N_odiff_632N
376,6N_odiff_633N
377,6N_odiff_634N
378,6N_odiff_635N
379,6N_odiff_636N
380,6N_odiff_637N
381,6N_odiff_638N
382,6N_odiff_639N
383,6N_odiff_640N
384,6N_delayed_magnitude_601N
385,6N_delayed_magnitude_602N
386,6N_delayed_magnitude_603N
387,6N_delayed_magnitude_604N
388,6N_delayed_magnitude_606N
389,6N_delayed_magnitude_607N
390,6N_delayed_magnitude_608N
391,6N_delayed_magnitude_609N
392,6N_delayed_magnitude_610N
393,6N_delayed_magnitude_611N
394,6N_delayed_magnitude_612N
395,6N_delayed_magnitude_613N
396,6N_delayed_magnitude_614N
397,6N_delayed_magnitude_615N
398,6N_delayed_magnitude_616N
399,6N_delayed_magnitude_617N
400,6N_delayed_magnitude_618N
401,6N_delayed_magnitude_619N
402,6N_delayed_magnitude_621N
403,6N_delayed_magnitude_622N
404,6N_delayed_magnitude_623N
405,6N_delayed_magnitude_624N
406,6N_delayed_magnitude_625N
407,6N_delayed_magnitude_626N
408,6N_delayed_magnitude_627N
409,6N_delayed_magnitude_628N
410,6N_delayed_magnitude_629N
411,6N_delayed_magnitude_630N
412,6N_delayed_magnitude_631N
413,6N_delayed_magnitude_632N
414,6N_delayed_magnitude_633N
415,6N_delayed_magnitude_634N
416,6N_delayed_magnitude_635N
417,6N_delayed_magnitude_636N
418,6N_delayed_magnitude_637N
419,6N_delayed_magnitude_638N
420,6N_delayed_magnitude_639N
421,6N_delayed_magnitude_640N
422,6N_weekday
423,6N_hour
424,mta_prediction
